City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,cayenne,4.9333,-52.3333,25.02,94,75,0.0,GF,1675819694
174,matay,28.419,30.7792,9.03,57,100,2.02,EG,1675819695
175,san patricio,28.017,-97.5169,23.42,79,100,7.2,US,1675819607
176,arraial do cabo,-22.9661,-42.0278,24.16,90,100,1.79,BR,1675819618
177,katsuura,35.1333,140.3,10.82,71,97,7.68,JP,1675819696
178,tilichiki,60.4667,166.1,-29.17,90,73,4.56,RU,1675819696
179,namibe,-15.1961,12.1522,21.19,74,95,2.47,AO,1675819620
180,gladstone,-23.85,151.25,29.32,54,100,7.2,AU,1675819696
181,pangoa,-12.1167,-73.0,20.25,99,37,0.4,PE,1675819697
182,te anau,-45.4167,167.7167,14.28,44,48,5.09,NZ,1675819697
183,bethel,41.3712,-73.414,3.2,76,100,1.54,US,1675819693
184,laguna,38.421,-121.4238,14.4,61,0,0.45,US,1675819479
185,kapoeta,4.7717,33.5903,27.0,30,0,2.61,SS,1675819698
186,nanortalik,60.1432,-45.2371,-15.3,72,8,8.65,GL,1675819698
187,stornoway,58.2093,-6.3865,7.98,78,100,14.4,GB,1675819699
188,college,64.8569,-147.8028,-11.0,78,75,0.0,US,1675819699
189,pafos,34.7667,32.4167,6.24,81,100,2.06,CY,1675819681
190,ilulissat,69.2167,-51.1,-26.99,76,100,2.57,GL,1675819700
191,flinders,-34.5833,150.8552,22.32,88,100,0.89,AU,1675819674
192,esperance,-33.8667,121.9,20.99,67,98,4.85,AU,1675819681
193,kavaratti,10.5669,72.642,26.47,70,100,5.02,IN,1675819700
194,palmer,42.1584,-72.3287,1.65,68,100,4.12,US,1675819480
195,san antero,9.3741,-75.7589,26.92,77,38,6.12,CO,1675819700
196,auch,43.65,0.5833,6.36,93,43,1.79,FR,1675819701
197,anloga,5.7947,0.8973,26.95,82,37,4.48,GH,1675819675
198,olavarria,-36.8927,-60.3225,25.59,33,15,1.53,AR,1675819702
199,tembisa,-25.9964,28.2268,19.47,85,98,1.91,ZA,1675819703
200,mehamn,71.0357,27.8492,0.97,86,16,10.8,NO,1675819703
201,kodiak,57.79,-152.4072,-1.27,51,0,7.72,US,1675819704
202,vila franca do campo,37.7167,-25.4333,13.23,81,95,4.49,PT,1675819704
203,ahipara,-35.1667,173.1667,22.44,53,36,3.18,NZ,1675819705
204,cap malheureux,-19.9842,57.6142,24.7,83,50,2.68,MU,1675819705
205,bredasdorp,-34.5322,20.0403,18.93,77,21,3.68,ZA,1675819706
206,lompoc,34.6391,-120.4579,17.1,80,40,3.09,US,1675819706
207,ikalamavony,-21.15,46.5833,17.84,91,87,2.2,MG,1675819706
208,ruteng,-8.6136,120.4721,21.37,78,77,0.83,ID,1675819707
209,guymon,36.6828,-101.4816,7.0,39,100,2.57,US,1675819707
210,fort nelson,58.8053,-122.7002,-6.14,84,20,1.03,CA,1675819695
211,kruisfontein,-34.0033,24.7314,19.38,82,100,2.1,ZA,1675819707
212,pokhara,28.2333,83.9833,10.82,55,25,3.0,NP,1675819708
213,amga,60.8953,131.9608,-35.66,98,99,0.5,RU,1675819708
